Feature ID	Taxon	Consensus
#q2:types	categorical	categorical
000024a36bfc25f6069e46da2557f8e8a47a77f3	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_albicans	0.75
000e4472332de89f202dd996f29051d7dd821769	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces	1.0
0075a8ac386a11db78ce3d0335375759ff68d903	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_bayanus	1.0
0078f49e5759f9822f67639a8ffeb269fc2b318f	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces	1.0
0130ffcbea2185f20dc0285f3db265ff463caed5	k__Fungi;p__Ascomycota	1.0
01656c22081f699850810a6dd29c56910a70ff41	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces	1.0
017dd297b9e87379e7744081578e14d86e39cbb9	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces	1.0
01b195ef54a56d5c0adcbda9fc48b6929b36ab89	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida	1.0
01d0ebbb2662c8bec26e6fac4b418cfd2ba6eca5	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae	1.0
01e8518f6c37f9e4c8d9ec16a3ef37b026dbba26	k__Fungi	1.0
01f6ce5ab1b7d544e791bae18333a74ba781e5fb	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula	1.0
